status, species, listing name, link, spcode
E,"Acornshell, southern","Epioblasma othcaloogensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02D,F02D
T,"Bankclimber, purple (mussel)","Elliptoideus sloatianus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02E,F02E
E,"Bat, gray","Myotis grisescens",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A04J,A04J
E,"Bat, Indiana","Myotis sodalis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A000,A000
T,"Bat, Northern long-eared","Myotis septentrionalis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A0JE,A0JE
E,"Blossom, tubercled (pearlymussel)","Epioblasma torulosa torulosa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F003,F003
E,"Clubshell, ovate","Pleurobema perovatum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F035,F035
E,"Clubshell, southern","Pleurobema decisum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F036,F036
E,"Darter, amber","Percina antesella",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05F,E05F
T,"Darter, Cherokee","Etheostoma scotti",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E03J,E03J
E,"Darter, Etowah","Etheostoma etowahae",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E089,E089
T,"Darter, goldline","Percina aurolineata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05S,E05S
T,"Darter, snail","Percina tanasi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E010,E010
T,"Darter, trispot","Etheostoma trisella",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05G,E05G
E,"Kidneyshell, triangular","Ptychobranchus greenii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F037,F037
T,"Knot, red","Calidris canutus rufa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0DM,B0DM
E,"Logperch, Conasauga","Percina jenkinsi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05H,E05H
T,"Manatee, West Indian","Trichechus manatus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A007,A007
