status, species, listing name, link, spcode
E,"Bat, gray","Myotis grisescens",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A04J,A04J
E,"Bat, Indiana","Myotis sodalis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A000,A000
T,"Bat, Northern long-eared","Myotis septentrionalis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A0JE,A0JE
E,"Bat, Virginia big-eared","Corynorhinus (=Plecotus) townsendii virginianus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A080,A080
E,"Bean, rayed","Villosa fabalis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F01A,F01A
E,"Blossom, tubercled (pearlymussel)","Epioblasma torulosa torulosa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F003,F003
E,"Bumble bee, Rusty patched","Bombus affinis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0WI,I0WI
E,"Clubshell","Pleurobema clava",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F01D,F01D
T,"Crayfish, Big Sandy","Cambarus callainus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K03K,K03K
E,"Crayfish, Guyandotte River","Cambarus veteranus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K08X,K08X
E,"Darter, candy","Etheostoma osburni",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E03K,E03K
E,"Darter, diamond","Crystallaria cincotta",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E014,E014
E,"Fanshell","Cyprogenia stegaria",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02H,F02H
T,"Isopod, Madison Cave","Antrolana lira",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K008,K008
T,"Knot, red","Calidris canutus rufa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0DM,B0DM
E,"Mucket, pink (pearlymussel)","Lampsilis abrupta",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F00G,F00G
E,"Mussel, sheepnose","Plethobasus cyphyus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F046,F046
E,"Mussel, snuffbox","Epioblasma triquetra",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F03J,F03J
E,"Riffleshell, northern","Epioblasma torulosa rangiana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02Z,F02Z
T,"Salamander, Cheat Mountain","Plethodon nettingi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=D011,D011
T,"Snail, flat-spired three-toothed","Triodopsis platysayoides",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G00S,G00S
E,"Spectaclecase (mussel)","Cumberlandia monodonta",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F00X,F00X
E,"Spinymussel, James","Pleurobema collina",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F025,F025
