state,value
Mississippi,1
Oklahoma,1
Wyoming,0
Minnesota,0
Illinois,1
Georgia,0
Arkansas,1
New Mexico,1
Ohio,0
Indiana,1
Maryland,0
Louisiana,1
Idaho,0
Arizona,0
Iowa,1
Michigan,0
Kansas,1
Utah,0
Virginia,0
Oregon,0
Connecticut,0
Montana,1
California,0
Massachusetts,0
West Virginia,0
South Carolina,0
New Hampshire,0
Vermont,0
Delaware,0
North Dakota,1
Pennsylvania,0
Florida,0
Alaska,0
Kentucky,1
Hawaii,0
Nebraska,1
Missouri,1
Wisconsin,0
Alabama,0
New York,0
South Dakota,1
Colorado,1
New Jersey,0
Washington,0
North Carolina,0
Tennessee,1
District of Columbia,0
Texas,1
Nevada,0
Maine,0
Rhode Island,0
